customer_id,postal_code
584774226f,
e4dd0a340c,
7c0b78693f,1475.0
d4c30bc021,83095.0
f56fde8169,21329.0
b848e34862,14251.0
95fef320d2,43036.0
5788a39dec,
e948c24b72,70410.0
d7f3d57e0b,66390.0
6022a3b31e,
6f6c292350,65235.0
baa8685dd5,70813.0
b56b59e8c8,97393.0
5043a53a8f,25560.0
a44fea9771,48434.0
ee8202434a,56372.0
403f5e4ef4,55140.0
9f663ff932,48582.0
ec9a3a5456,55183.0
ad738a6d68,71444.0
e84e9a4d10,14222.0
d6274d54a4,16400.0
c80e821a06,
0ad6521fc2,70291.0
9ee48ee3c5,35440.0
813a4a5c6d,1129.0
6e1f315242,15810.0
2340805ccd,
ac71c7d561,
430ef20ec1,15784.0
dc6959635b,21540.0
6c9d788b2a,51571.0
ea77268201,95634.0
dfa13006f5,47303.0
9d0d58af5a,72789.0
38b56072c3,13537.0
c048bf9bd7,53399.0
9d23e54e38,41476.0
aa6aa480a1,60438.0
94711e49dd,33494.0
4f17da431d,10611.0
bbb4e182fd,
35c3a70a3a,97422.0
c780dfda8f,49588.0
5937cceae2,70833.0
b08b28fd55,10643.0
b7bccdabc7,48271.0
4f73ac0ff3,42783.0
20ee4bbefb,70341.0
aac323a4eb,24697.0
7dc9f54622,69198.0
a13452f0d6,51739.0
ffa96dc2ee,26182.0
3401052007,1487.0
3e617eeff8,89414.0
bd29427871,21599.0
a049fa6e96,65241.0
1e20e483f2,40655.0
c7d9dad346,
2a7ca7265e,33109.0
450e41211f,16400.0
5982780c99,71571.0
c9a1b943d2,59571.0
3dfe101ab2,91418.0
c501ad4923,38927.0
dedcc83210,41859.0
f19c083ee5,84248.0
d71e9ba953,79474.0
9453d58ae7,86908.0
4aade52de4,29577.0
f28551a9f4,70211.0
ecb050584d,
606549cb71,22964.0
db586e9940,29331.0
2819ac1ce2,79487.0
74bbc8a4b2,88376.0
2a9212329e,3309.0
269c22a08b,13701.0
745e01c1d4,15952.0
31b3ee5097,12317.0
727d841364,71517.0
623cc33632,58891.0
